Առյուծ	name	Leo (a constellation of the zodiac containing the bright star Regulus, in the shape of a lion). | Leo (the zodiac sign for the lion, covering July 23–August 22).
Առնո	name	a male given name, Arno, from French
Առուշանյան	name	a surname originating as a patronymic, Arushanyan, Arushanian, Aroushanian
Առտիալ	name	Transylvania (a historical region in western Romania)
Ասատուր	name	a male given name, Asatur or Asadur
Ասատուրյան	name	a surname originating as a patronymic
Ասատրյան	name	a surname originating as a patronymic
Ասիա	name	Asia (the largest continent, located between Europe and the Pacific Ocean) | Asia (an ancient province of the Roman Empire in western Anatolia, existing between 133 BC (during the Roman Republic) and the 7th century AD)
Ասլանճյան	name	a surname originating as an occupation
Ասլանյան	name	a surname originating as a patronymic
Ասկալոն	name	Ashkelon
Ասկանիոս	name	Ascanius
Ասմարա	name	Asmara (the capital city of Eritrea)
Ասմերա	name	alternative form of Ասմարա (Asmara)
